Natural emissions backed out from the RCP scenarios,,
Method: assumed 1765 was steady state. Used constant lifetime of 9.3 years for CH4 and 121 years for N2O. After 2005,,
,MtCH4,MtN2O-N
year,ch4,n2o
1765,209.2492,11.1555
1766,209.2957,11.2105
1767,209.1874,11.2624
1768,208.8695,11.2565
1769,208.534,11.2508
1770,208.1871,11.2452
1771,207.8449,11.2396
1772,207.5117,11.2339
1773,207.1767,11.2284
1774,206.8331,11.2232
1775,206.4805,11.2182
1776,206.1186,11.2132
1777,205.7469,11.208
1778,205.3651,11.203
1779,204.9727,11.1984
1780,204.5623,11.1939
1781,204.1237,11.1894
1782,203.6677,11.1848
1783,203.218,11.1803
1784,202.7857,11.1762
1785,202.3737,11.1723
1786,201.9846,11.1685
1787,201.6213,11.1644
1788,201.2862,11.1606
1789,200.9822,11.1569
1790,200.7067,11.1536
1791,200.445,11.1503
1792,200.183,11.1468
1793,199.9184,11.1434
1794,199.6523,11.1404
1795,199.384,11.1376
1796,199.1122,11.1348
1797,198.8363,11.132
1798,198.5552,11.1292
1799,198.268,11.1267
1800,197.9885,11.1245
1801,197.7448,11.1224
1802,197.5344,11.1203
1803,197.3258,11.1182
1804,197.102,11.1163
1805,196.8608,11.1147
1806,196.5997,11.1132
1807,196.3163,11.1116
1808,196.0082,11.1102
1809,195.6729,11.1089
1810,195.3194,11.1078
1811,194.9717,11.1068
1812,194.6395,11.1059
1813,194.3091,11.1051
1814,193.9714,11.1045
1815,193.626,11.1039
1816,193.2725,11.1035
1817,192.9104,11.1033
1818,192.5392,11.1032
1819,192.1585,11.1031
1820,191.7686,11.1031
1821,191.3715,11.1032
1822,190.9685,11.1034
1823,190.5589,11.1039
1824,190.1421,11.1044
1825,189.7179,11.105
1826,189.2861,11.1057
1827,188.8465,11.1067
1828,188.399,11.1078
1829,187.9434,11.1089
1830,187.4737,11.11
1831,186.9795,11.1112
1832,186.4648,11.1128
1833,185.9448,11.1145
1834,185.4269,11.1162
1835,184.9122,11.118
1836,184.4018,11.1199
1837,183.8971,11.1221
1838,183.3989,11.1245
1839,182.9084,11.1269
1840,182.4354,11.1302
1841,181.99,11.1501
1842,181.5538,11.1922
1843,181.093,11.2154
1844,180.5919,11.1788
1845,180.0463,11.074
1846,179.4521,10.9446
1847,178.8048,10.8656
1848,178.1004,10.8438
1849,177.3344,10.8389
1850,176.4897,10.9591
1851,176.6363,11.2039
1852,177.2359,11.3098
1853,177.2501,11.2952
1854,177.2644,11.2994
1855,176.5678,11.3043
1856,176.5096,11.3069
1857,177.1621,11.307
1858,177.1764,11.3072
1859,177.1906,11.3076
1860,177.2048,11.3079
1861,177.7453,11.2989
1862,178.812,11.3087
1863,179.8787,11.328
1864,180.9454,11.3287
1865,182.7229,11.3293
1866,183.862,11.3302
1867,184.2904,11.3327
1868,185.357,11.3359
1869,186.4237,11.3389
1870,188.2012,11.218
1871,187.6462,11.0478
1872,184.6862,11.0845
1873,182.3645,11.156
1874,180.0428,11.1391
1875,178.432,11.0071
1876,176.1828,10.8678
1877,173.2228,10.9759
1878,170.9011,11.0928
1879,168.5794,11.0875
1880,166.9686,11.0826
1881,165.3747,11.0684
1882,163.087,11.0719
1883,160.7993,11.0855
1884,157.8007,11.0828
1885,154.7298,11.0809
1886,153.0079,11.0713
1887,151.3586,10.9374
1888,149.0709,10.8109
1889,146.7831,10.9324
1890,144.4954,11.0554
1891,143.6736,11.0547
1892,143.6793,11.0529
1893,142.3359,10.9259
1894,140.92,10.7971
1895,140.8533,10.7906
1896,140.859,10.7834
1897,139.5156,10.8998
1898,138.8105,10.8927
1899,138.8162,10.7613
1900,138.8944,10.8771
1901,140.5941,10.993
1902,141.9278,10.9834
1903,142.6956,10.971
1904,143.5359,10.9564
1905,143.7378,10.9403
1906,143.9397,10.9231
1907,144.1416,11.0297
1908,145.0543,11.1374
1909,146.0395,11.1229
1910,145.6756,11.1098
1911,145.1875,11.0978
1912,145.9968,11.2099
1913,147.5895,11.1982
1914,148.6162,11.0618
1915,149.0047,11.1725
1916,149.3931,11.2843
1917,149.7815,11.3973
1918,150.8807,11.5116
1919,152.0524,11.3793
1920,151.8749,11.3708
1921,151.7081,11.4869
1922,152.9734,11.3557
1923,154.3112,11.2232
1924,155.0106,11.2132
1925,155.7101,11.2019
1926,156.4095,11.3134
1927,157.109,11.3011
1928,157.8084,11.0403
1929,157.797,11.0263
1930,157.7132,11.0132
1931,158.2244,10.8776
1932,158.6922,10.9911
1933,159.1601,11.1073
1934,158.9171,11.1021
1935,158.6017,11.0981
1936,158.9246,11.0944
1937,159.2476,10.9663
1938,159.5705,10.8359
1939,159.8934,10.8266
1940,160.9271,10.8145
1941,161.8227,10.9108
1942,161.1586,10.9713
1943,160.422,10.868
1944,161.0346,10.8539
1945,161.7196,10.8086
1946,162.4771,10.617
1947,164.0178,10.4161
1948,164.9927,10.2199
1949,166.04,10.0424
1950,167.8707,9.7734
1951,168.0443,9.5381
1952,167.2716,9.5716
1953,166.7164,9.6199
1954,164.9569,9.4343
1955,163.2699,9.3808
1956,162.3661,9.456
1957,161.6073,9.2858
1958,160.2827,9.2378
1959,159.0305,9.4347
1960,158.5615,9.5032
1961,159.2889,9.3033
1962,161.2127,9.0579
1963,162.5706,9.1343
1964,164.0009,9.292
1965,166.2146,9.1772
1966,167.8623,8.9145
1967,169.5825,8.6505
1968,172.086,8.5789
1969,174.7344,8.6809
1970,176.817,8.6659
1971,177.753,8.7763
1972,178.8917,8.9302
1973,180.1028,8.98
1974,180.6756,9.1164
1975,181.2484,9.0929
1976,181.8212,9.1838
1977,183.1048,9.3116
1978,184.4608,9.2452
1979,185.1785,8.7152
1980,188.7395,8.4466
1981,194.3432,9.5242
1982,197.8697,9.7282
1983,200.3896,8.7324
1984,197.7339,8.2257
1985,189.3508,8.834
1986,184.844,8.8262
1987,183.1218,7.6635
1988,180.5848,9.8148
1989,178.9968,11.8052
1990,177.9265,10.0037
1991,181.2698,8.2701
1992,181.9962,7.5063
1993,178.4228,7.4965
1994,184.4282,7.91
1995,191.5885,8.6102
1996,192.4089,8.8641
1997,200.7752,8.5509
1998,214.9829,8.7561
1999,217.4466,8.7432
2.00E+03,209.8705,8.3344
2001,204.8501,8.5941
2002,206.6764,9.17
2003,207.0581,9.2298
2004,198.2341,8.8188
2005,190.5807,8.9883
2006,190.5807,8.9883
2007,190.5807,8.9883
2008,190.5807,8.9883
2009,190.5807,8.9883
2010,190.5807,8.9883
2011,190.5807,8.9883
2012,190.5807,8.9883
2013,190.5807,8.9883
2014,190.5807,8.9883
2015,190.5807,8.9883
2016,190.5807,8.9883
2017,190.5807,8.9883
2018,190.5807,8.9883
2019,190.5807,8.9883
2020,190.5807,8.9883
2021,190.5807,8.9883
2022,190.5807,8.9883
2023,190.5807,8.9883
